src,dst,edge_attr
33,8,0.968999981880188
32,33,0.9739999771118164
32,76,0.972000002861023
32,34,0.9710000157356262
32,45,0.9509999752044678
32,114,0.9390000104904175
32,138,0.9490000009536743
32,55,0.9490000009536743
32,37,0.9430000185966492
32,109,0.9490000009536743
32,39,0.9369999766349792
32,66,0.6010000109672546
32,31,0.9300000071525574
32,24,0.9509999752044678
32,8,0.9309999942779541
32,2,0.9490000009536743
31,45,0.972000002861023
31,55,0.972000002861023
31,138,0.9509999752044678
31,8,0.972000002861023
28,76,0.9470000267028809
28,55,0.9800000190734863
28,109,0.9710000157356262
28,33,0.9629999995231628
28,114,0.9700000286102295
28,31,0.9779999852180481
28,39,0.9729999899864197
28,32,0.9760000109672546
28,37,0.9509999752044678
28,34,0.9700000286102295
28,45,0.9539999961853027
28,138,0.9570000171661377
28,122,0.734000027179718
28,24,0.9509999752044678
28,8,0.8960000276565552
28,2,0.9800000190734863
27,37,0.9829999804496765
27,109,0.968999981880188
27,55,0.968999981880188
27,76,0.968999981880188
27,28,0.968999981880188
27,45,0.9829999804496765
27,33,0.9539999961853027
27,138,0.968999981880188
27,39,0.968999981880188
27,31,0.9829999804496765
27,114,0.968999981880188
27,32,0.9589999914169312
27,34,0.9089999794960022
27,122,0.734000027179718
27,24,0.9829999804496765
27,8,0.9819999933242798
27,2,0.968999981880188
24,31,0.9509999752044678
24,45,0.972000002861023
24,55,0.9509999752044678
24,37,0.972000002861023
24,138,0.9509999752044678
24,122,0.5490000247955322
24,66,0.6140000224113464
24,8,0.9909999966621399
16,66,0.734000027179718
16,109,0.734000027179718
16,32,0.734000027179718
16,24,0.734000027179718
16,52,0.734000027179718
16,80,0.5590000152587891
16,122,0.734000027179718
16,8,0.4569999873638153
13,135,0.9589999914169312
13,32,0.9700000286102295
13,27,0.9570000171661377
13,76,0.949999988079071
13,33,0.8690000176429749
13,28,0.8769999742507935
13,55,0.9409999847412109
13,109,0.8709999918937683
13,24,0.8899999856948853
