,node1,node2,num_id_1,num_id_2
291,9606.ENSP00000389160,9606.ENSP00000392709,101,156
292,9606.ENSP00000389160,9606.ENSP00000423673,101,80
293,9606.ENSP00000389160,9606.ENSP00000362873,101,45
294,9606.ENSP00000389160,9606.ENSP00000356972,101,117
295,9606.ENSP00000389160,9606.ENSP00000330737,101,158
296,9606.ENSP00000389160,9606.ENSP00000327268,101,56
297,9606.ENSP00000389160,9606.ENSP00000315774,101,69
298,9606.ENSP00000389160,9606.ENSP00000299166,101,107
299,9606.ENSP00000389160,9606.ENSP00000296684,101,66
300,9606.ENSP00000389160,9606.ENSP00000281031,101,91
301,9606.ENSP00000389160,9606.ENSP00000276689,101,161
302,9606.ENSP00000389160,9606.ENSP00000276062,101,167
303,9606.ENSP00000389160,9606.ENSP00000274137,101,123
304,9606.ENSP00000389160,9606.ENSP00000268668,101,1
305,9606.ENSP00000389160,9606.ENSP00000266544,101,36
306,9606.ENSP00000389160,9606.ENSP00000263774,101,79
307,9606.ENSP00000389160,9606.ENSP00000252102,101,102
308,9606.ENSP00000389160,9606.ENSP00000233627,101,89
309,9606.ENSP00000389160,9606.ENSP00000215565,101,4
310,9606.ENSP00000418803,9606.ENSP00000351737,29,97
311,9606.ENSP00000354665,9606.ENSP00000497587,43,26
312,9606.ENSP00000354665,9606.ENSP00000360492,43,144
313,9606.ENSP00000354665,9606.ENSP00000423673,43,80
314,9606.ENSP00000354665,9606.ENSP00000362873,43,45
315,9606.ENSP00000354665,9606.ENSP00000356972,43,117
316,9606.ENSP00000354665,9606.ENSP00000392709,43,156
317,9606.ENSP00000354665,9606.ENSP00000482543,43,119
318,9606.ENSP00000354665,9606.ENSP00000407336,43,61
319,9606.ENSP00000354665,9606.ENSP00000389160,43,101
320,9606.ENSP00000354665,9606.ENSP00000330737,43,158
321,9606.ENSP00000354665,9606.ENSP00000327268,43,56
322,9606.ENSP00000354665,9606.ENSP00000323076,43,99
323,9606.ENSP00000354665,9606.ENSP00000315774,43,69
324,9606.ENSP00000354665,9606.ENSP00000299166,43,107
325,9606.ENSP00000354665,9606.ENSP00000296684,43,66
326,9606.ENSP00000354665,9606.ENSP00000281031,43,91
327,9606.ENSP00000354665,9606.ENSP00000276689,43,161
328,9606.ENSP00000354665,9606.ENSP00000276062,43,167
329,9606.ENSP00000354665,9606.ENSP00000274137,43,123
330,9606.ENSP00000354665,9606.ENSP00000268668,43,1
331,9606.ENSP00000354665,9606.ENSP00000266544,43,36
332,9606.ENSP00000354665,9606.ENSP00000263774,43,79
333,9606.ENSP00000354665,9606.ENSP00000252711,43,17
334,9606.ENSP00000354665,9606.ENSP00000252102,43,102
335,9606.ENSP00000354665,9606.ENSP00000233627,43,89
336,9606.ENSP00000354665,9606.ENSP00000215565,43,4
337,9606.ENSP00000340278,9606.ENSP00000364204,86,114
338,9606.ENSP00000340278,9606.ENSP00000355865,86,47
339,9606.ENSP00000340278,9606.ENSP00000500990,86,22
340,9606.ENSP00000330737,9606.ENSP00000497587,158,26
341,9606.ENSP00000330737,9606.ENSP00000362873,158,45
342,9606.ENSP00000330737,9606.ENSP00000392709,158,156
343,9606.ENSP00000330737,9606.ENSP00000423673,158,80
344,9606.ENSP00000330737,9606.ENSP00000482543,158,119
345,9606.ENSP00000330737,9606.ENSP00000356972,158,117
346,9606.ENSP00000330737,9606.ENSP00000407336,158,61
347,9606.ENSP00000330737,9606.ENSP00000418803,158,29
348,9606.ENSP00000330737,9606.ENSP00000327268,158,56
349,9606.ENSP00000330737,9606.ENSP00000315774,158,69
350,9606.ENSP00000330737,9606.ENSP00000299166,158,107
351,9606.ENSP00000330737,9606.ENSP00000296684,158,66
352,9606.ENSP00000330737,9606.ENSP00000281031,158,91
353,9606.ENSP00000330737,9606.ENSP00000276689,158,161
354,9606.ENSP00000330737,9606.ENSP00000276062,158,167
355,9606.ENSP00000330737,9606.ENSP00000274137,158,123
356,9606.ENSP00000330737,9606.ENSP00000268668,158,1
357,9606.ENSP00000330737,9606.ENSP00000266544,158,36
358,9606.ENSP00000330737,9606.ENSP00000263774,158,79
359,9606.ENSP00000330737,9606.ENSP00000260361,158,154
360,9606.ENSP00000330737,9606.ENSP00000252102,158,102
361,9606.ENSP00000330737,9606.ENSP00000233627,158,89
362,9606.ENSP00000330737,9606.ENSP00000215565,158,4
363,9606.ENSP00000315774,9606.ENSP00000327268,69,56
364,9606.ENSP00000315774,9606.ENSP00000497587,69,26
365,9606.ENSP00000315774,9606.ENSP00000418803,69,29
366,9606.ENSP00000299166,9606.ENSP00000315774,107,69
367,9606.ENSP00000299166,9606.ENSP00000327268,107,56
368,9606.ENSP00000299166,9606.ENSP00000497587,107,26
369,9606.ENSP00000299166,9606.ENSP00000392709,107,156
370,9606.ENSP00000299166,9606.ENSP00000356972,107,117
371,9606.ENSP00000299166,9606.ENSP00000418803,107,29
372,9606.ENSP00000299166,9606.ENSP00000296684,107,66
373,9606.ENSP00000299166,9606.ENSP00000281031,107,91
374,9606.ENSP00000299166,9606.ENSP00000276689,107,161
375,9606.ENSP00000299166,9606.ENSP00000274137,107,123
376,9606.ENSP00000299166,9606.ENSP00000263774,107,79
377,9606.ENSP00000299166,9606.ENSP00000233627,107,89
378,9606.ENSP00000296684,9606.ENSP00000327268,66,56
379,9606.ENSP00000296684,9606.ENSP00000315774,66,69
380,9606.ENSP00000296684,9606.ENSP00000497587,66,26
381,9606.ENSP00000296684,9606.ENSP00000274137,66,123
382,9606.ENSP00000296684,9606.ENSP00000233627,66,89
383,9606.ENSP00000281031,9606.ENSP00000497587,91,26
384,9606.ENSP00000281031,9606.ENSP00000296684,91,66
385,9606.ENSP00000281031,9606.ENSP00000327268,91,56
386,9606.ENSP00000281031,9606.ENSP00000356972,91,117
387,9606.ENSP00000281031,9606.ENSP00000315774,91,69
388,9606.ENSP00000281031,9606.ENSP00000392709,91,156
389,9606.ENSP00000281031,9606.ENSP00000418803,91,29
390,9606.ENSP00000281031,9606.ENSP00000351737,91,97
391,9606.ENSP00000281031,9606.ENSP00000274137,91,123
392,9606.ENSP00000281031,9606.ENSP00000263774,91,79
393,9606.ENSP00000281031,9606.ENSP00000233627,91,89
394,9606.ENSP00000276689,9606.ENSP00000392709,161,156
395,9606.ENSP00000276689,9606.ENSP00000327268,161,56
396,9606.ENSP00000276689,9606.ENSP00000356972,161,117
397,9606.ENSP00000276689,9606.ENSP00000315774,161,69
398,9606.ENSP00000276689,9606.ENSP00000497587,161,26
399,9606.ENSP00000276689,9606.ENSP00000296684,161,66
400,9606.ENSP00000276689,9606.ENSP00000281031,161,91
401,9606.ENSP00000276689,9606.ENSP00000418803,161,29
402,9606.ENSP00000276689,9606.ENSP00000274137,161,123
403,9606.ENSP00000276689,9606.ENSP00000263774,161,79
404,9606.ENSP00000276689,9606.ENSP00000233627,161,89
405,9606.ENSP00000276062,9606.ENSP00000276689,167,161
406,9606.ENSP00000276062,9606.ENSP00000356972,167,117
407,9606.ENSP00000276062,9606.ENSP00000281031,167,91
408,9606.ENSP00000276062,9606.ENSP00000315774,167,69
409,9606.ENSP00000276062,9606.ENSP00000407336,167,61
410,9606.ENSP00000276062,9606.ENSP00000497587,167,26
411,9606.ENSP00000276062,9606.ENSP00000327268,167,56
412,9606.ENSP00000276062,9606.ENSP00000296684,167,66
413,9606.ENSP00000276062,9606.ENSP00000392709,167,156
414,9606.ENSP00000276062,9606.ENSP00000299166,167,107
415,9606.ENSP00000276062,9606.ENSP00000351737,167,97
416,9606.ENSP00000276062,9606.ENSP00000274137,167,123
417,9606.ENSP00000276062,9606.ENSP00000263774,167,79
418,9606.ENSP00000276062,9606.ENSP00000233627,167,89
419,9606.ENSP00000276062,9606.ENSP00000215565,167,4
420,9606.ENSP00000274137,9606.ENSP00000315774,123,69
421,9606.ENSP00000274137,9606.ENSP00000327268,123,56
422,9606.ENSP00000274137,9606.ENSP00000497587,123,26
423,9606.ENSP00000274137,9606.ENSP00000233627,123,89
424,9606.ENSP00000268668,9606.ENSP00000356972,1,117
425,9606.ENSP00000268668,9606.ENSP00000327268,1,56
426,9606.ENSP00000268668,9606.ENSP00000392709,1,156
427,9606.ENSP00000268668,9606.ENSP00000276689,1,161
428,9606.ENSP00000268668,9606.ENSP00000407336,1,61
429,9606.ENSP00000268668,9606.ENSP00000274137,1,123
430,9606.ENSP00000268668,9606.ENSP00000299166,1,107
431,9606.ENSP00000268668,9606.ENSP00000276062,1,167
432,9606.ENSP00000268668,9606.ENSP00000296684,1,66
433,9606.ENSP00000268668,9606.ENSP00000281031,1,91
434,9606.ENSP00000268668,9606.ENSP00000315774,1,69
435,9606.ENSP00000268668,9606.ENSP00000497587,1,26
436,9606.ENSP00000268668,9606.ENSP00000418803,1,29
437,9606.ENSP00000268668,9606.ENSP00000263774,1,79
438,9606.ENSP00000268668,9606.ENSP00000233627,1,89
439,9606.ENSP00000268668,9606.ENSP00000215565,1,4
440,9606.ENSP00000266544,9606.ENSP00000296684,36,66
441,9606.ENSP00000266544,9606.ENSP00000392709,36,156
442,9606.ENSP00000266544,9606.ENSP00000327268,36,56
443,9606.ENSP00000266544,9606.ENSP00000356972,36,117
444,9606.ENSP00000266544,9606.ENSP00000268668,36,1
445,9606.ENSP00000266544,9606.ENSP00000315774,36,69
446,9606.ENSP00000266544,9606.ENSP00000276689,36,161
447,9606.ENSP00000266544,9606.ENSP00000497587,36,26
448,9606.ENSP00000266544,9606.ENSP00000299166,36,107
449,9606.ENSP00000266544,9606.ENSP00000274137,36,123
450,9606.ENSP00000266544,9606.ENSP00000407336,36,61
451,9606.ENSP00000266544,9606.ENSP00000276062,36,167
452,9606.ENSP00000266544,9606.ENSP00000281031,36,91
453,9606.ENSP00000266544,9606.ENSP00000418803,36,29
454,9606.ENSP00000266544,9606.ENSP00000263774,36,79
455,9606.ENSP00000266544,9606.ENSP00000233627,36,89
456,9606.ENSP00000266544,9606.ENSP00000215565,36,4
457,9606.ENSP00000263774,9606.ENSP00000274137,79,123
458,9606.ENSP00000263774,9606.ENSP00000315774,79,69
459,9606.ENSP00000263774,9606.ENSP00000327268,79,56
460,9606.ENSP00000263774,9606.ENSP00000296684,79,66
461,9606.ENSP00000263774,9606.ENSP00000497587,79,26
462,9606.ENSP00000263774,9606.ENSP00000418803,79,29
463,9606.ENSP00000263774,9606.ENSP00000351737,79,97
